Id_bien;Code_Commune;Type_Local;Surface_Bati;Nombre_Piece_Princ
15705;3209;Appartement;33;2
15706;3210;Appartement;43;2
15707;3211;Appartement;78;3
15708;3211;Appartement;41;2
15709;2233;Appartement;89;3
15710;2260;Appartement;49;2
15711;2357;Appartement;84;4
15712;2345;Appartement;80;4
15713;2262;Appartement;64;3
15714;2365;Appartement;36;2
15715;2351;Appartement;60;3
15716;2346;Appartement;55;3
15717;2453;Appartement;62;3
15718;2428;Appartement;25;1
15719;2437;Appartement;56;3
15720;2424;Appartement;49;3
15721;2422;Appartement;46;2
15722;2450;Appartement;69;3
15723;2433;Appartement;99;5
15724;2425;Appartement;70;4
15725;2413;Appartement;83;4
15726;2407;Appartement;115;5
15727;2421;Appartement;81;3
15728;2410;Appartement;17;1
15729;2514;Appartement;45;2
15730;2536;Appartement;84;4
15731;2574;Appartement;47;2
15732;2643;Appartement;59;3
15733;2577;Appartement;94;4
15734;2622;Appartement;32;2
15735;2637;Appartement;27;1
15736;2632;Appartement;28;2
15737;2632;Appartement;38;2
15738;2642;Appartement;19;2
15739;2580;Appartement;70;3
15740;2627;Appartement;58;3
15741;2729;Appartement;104;4
15742;2731;Appartement;56;3
15743;2891;Appartement;64;3
15744;2869;Appartement;42;2
15745;2921;Appartement;14;1
15746;2895;Appartement;20;1
15747;2828;Appartement;81;4
15748;2838;Maison;118;5
15749;2948;Appartement;51;2
15750;2965;Appartement;22;1
15751;2975;Appartement;65;3
15752;2970;Appartement;80;4
15753;2953;Appartement;42;1
15754;2950;Appartement;50;2
15755;2949;Appartement;23;2
15756;2967;Appartement;32;2
15757;2952;Appartement;70;3
15758;2977;Appartement;20;1
15759;2944;Appartement;40;3
15760;2954;Appartement;130;5
15761;2954;Appartement;40;1
15762;2974;Appartement;22;1
15763;2942;Appartement;18;1
15764;2973;Appartement;23;1
15765;3016;Appartement;104;5
15766;3017;Appartement;39;2
15767;2990;Appartement;80;3
15768;2988;Maison;100;5
15769;3001;Appartement;49;2
15770;3018;Appartement;54;3
15771;3023;Appartement;31;2
15772;3029;Appartement;89;4
15773;3025;Appartement;63;3
15774;3064;Appartement;63;3
15775;3028;Appartement;42;3
15776;3060;Appartement;86;6
15777;3021;Appartement;49;2
